file,condition,mean,std,min,max,n_turns
CONVERSATION_RESUME_Alice_Leader_Ranger.txt,baseline,0.5242724716663361,0.09508338760983633,0.32109177112579346,0.668923020362854,11
CONVERSATION_RESUME_Lorelai_ProPeace_Ranger.txt,baseline,0.46414587944746016,0.16257296742103458,0.20948733389377594,0.7301221489906311,10
CONVERSATION_RESUME_Roxanne_Leader_Downside.txt,baseline,0.5136201878388723,0.07878435732862175,0.3345149755477905,0.6005857586860657,9
CONVERSATION_RESUME_Tiana_AntiPeace_Ranger.txt,baseline,0.5123219907283783,0.14127425295610171,0.20414239168167114,0.6942166686058044,10
CONVERSATION_RESUME_Ursula_AntiPeace_Downside.txt,baseline,0.5776341557502747,0.1261832562783291,0.3612375557422638,0.7496960163116455,10
CONVERSATION_RESUME_Yasmin_ProPeace_Downside.txt,baseline,0.517503903971778,0.08774029600314949,0.3927806317806244,0.6447505950927734,9
CONVERSATION_RESUME_Alice_Leader_Ranger.txt,baseline,0.5940535694360733,0.06828157775496384,0.45601192116737366,0.7038325667381287,10
CONVERSATION_RESUME_Lorelai_ProPeace_Ranger.txt,baseline,0.5901056528091431,0.09407266666318241,0.4475320279598236,0.7230401039123535,10
CONVERSATION_RESUME_Roxanne_Leader_Downside.txt,baseline,0.5854313731193542,0.11015725145330964,0.36689019203186035,0.7386782169342041,10
CONVERSATION_RESUME_Tiana_AntiPeace_Ranger.txt,baseline,0.5283427625894547,0.09658031689223605,0.36311793327331543,0.6825678944587708,10
CONVERSATION_RESUME_Ursula_AntiPeace_Downside.txt,baseline,0.6966913243134817,0.08117118601442826,0.5146532654762268,0.8105484247207642,12
CONVERSATION_RESUME_Yasmin_ProPeace_Downside.txt,baseline,0.6237179438273112,0.1019444431930541,0.4420315623283386,0.8065317273139954,12
CONVERSATION_RESUME_Alice_Leader_Ranger.txt,baseline,0.5903038680553436,0.08745683102743736,0.38355737924575806,0.7030730843544006,10
CONVERSATION_RESUME_Lorelai_ProPeace_Ranger.txt,baseline,0.5611552119255065,0.1260797388984818,0.3364945352077484,0.745747447013855,10
CONVERSATION_RESUME_Roxanne_Leader_Downside.txt,baseline,0.515838372707367,0.04189652115546765,0.446283757686615,0.5879144072532654,10
CONVERSATION_RESUME_Tiana_AntiPeace_Ranger.txt,baseline,0.5203473806381226,0.0744881200006974,0.39209410548210144,0.6387389898300171,10
CONVERSATION_RESUME_Ursula_AntiPeace_Downside.txt,baseline,0.6302967727184295,0.06807213120128354,0.45688027143478394,0.7297850251197815,10
CONVERSATION_RESUME_Yasmin_ProPeace_Downside.txt,baseline,0.5915510714054107,0.13325435090615045,0.224928617477417,0.719207763671875,10
CONVERSATION_RESUME_Alice_Leader_Ranger.txt,baseline,0.5603082254528999,0.14130732557218528,0.25100818276405334,0.7108153700828552,8
CONVERSATION_RESUME_Lorelai_ProPeace_Ranger.txt,baseline,0.5887300744652748,0.12279384716581107,0.3059716522693634,0.6672005653381348,8
CONVERSATION_RESUME_Roxanne_Leader_Downside.txt,baseline,0.5724111710275922,0.14484191497968202,0.29304051399230957,0.727969765663147,7
CONVERSATION_RESUME_Tiana_AntiPeace_Ranger.txt,baseline,0.5593602247536182,0.1374537703267778,0.2930203676223755,0.7491774559020996,8
CONVERSATION_RESUME_Ursula_AntiPeace_Downside.txt,baseline,0.5799423642456532,0.14432812992882646,0.27746590971946716,0.7403514385223389,8
CONVERSATION_RESUME_Yasmin_ProPeace_Downside.txt,baseline,0.5804929174482822,0.12843255494567066,0.3196585774421692,0.6918131709098816,8
CONVERSATION_RESUME_Alice_Leader_Ranger.txt,baseline,0.5797354016039107,0.1610668444846604,0.23284295201301575,0.8366348743438721,9
