file,mode,condition,dialogrpt
CONVERSATION_RESUME_Roxanne_Leader_Downside.txt,script,baseline,0.4441971331834793
CONVERSATION_RESUME_Tiana_AntiPeace_Ranger.txt,script,baseline,0.4363315515220165
CONVERSATION_RESUME_Ursula_AntiPeace_Downside.txt,script,baseline,0.4487311355769634
CONVERSATION_RESUME_Yasmin_ProPeace_Downside.txt,script,baseline,0.44310158491134644
CONVERSATION_RESUME_Alice_Leader_Ranger.txt,script,scaffold,0.461105540394783
CONVERSATION_RESUME_Lorelai_ProPeace_Ranger.txt,script,scaffold,0.43847350279490155
CONVERSATION_RESUME_Roxanne_Leader_Downside.txt,script,scaffold,0.4411463104188442
CONVERSATION_RESUME_Tiana_AntiPeace_Ranger.txt,script,scaffold,0.4432358965277672
CONVERSATION_RESUME_Ursula_AntiPeace_Downside.txt,script,scaffold,0.4583934582769871
CONVERSATION_RESUME_Yasmin_ProPeace_Downside.txt,script,scaffold,0.4388088174164295
CONVERSATION_RESUME_Alice_Leader_Ranger.txt,script,scaffold,0.44797366484999657
CONVERSATION_RESUME_Lorelai_ProPeace_Ranger.txt,script,scaffold,0.43645089492201805
CONVERSATION_RESUME_Roxanne_Leader_Downside.txt,script,scaffold,0.44642770290374756
CONVERSATION_RESUME_Tiana_AntiPeace_Ranger.txt,script,scaffold,0.43847956880927086
CONVERSATION_RESUME_Ursula_AntiPeace_Downside.txt,script,scaffold,0.4569316431879997
CONVERSATION_RESUME_Yasmin_ProPeace_Downside.txt,script,scaffold,0.4462677128612995
CONVERSATION_RESUME_Alice_Leader_Ranger.txt,script,scaffold,0.46214182674884796
CONVERSATION_RESUME_Lorelai_ProPeace_Ranger.txt,script,scaffold,0.447299025952816
CONVERSATION_RESUME_Roxanne_Leader_Downside.txt,script,scaffold,0.4507623389363289
CONVERSATION_RESUME_Tiana_AntiPeace_Ranger.txt,script,scaffold,0.44846776872873306
CONVERSATION_RESUME_Ursula_AntiPeace_Downside.txt,script,scaffold,0.44247762113809586
CONVERSATION_RESUME_Yasmin_ProPeace_Downside.txt,script,scaffold,0.442232858389616
CONVERSATION_RESUME_Alice_Leader_Ranger.txt,script,scaffold,0.4480384513735771
CONVERSATION_RESUME_Lorelai_ProPeace_Ranger.txt,script,scaffold,0.4635387063026428
CONVERSATION_RESUME_Roxanne_Leader_Downside.txt,script,scaffold,0.4364320635795593
CONVERSATION_RESUME_Tiana_AntiPeace_Ranger.txt,script,scaffold,0.4546736441552639
CONVERSATION_RESUME_Ursula_AntiPeace_Downside.txt,script,scaffold,0.46286849677562714
CONVERSATION_RESUME_Yasmin_ProPeace_Downside.txt,script,scaffold,0.45463311672210693
CONVERSATION_RESUME_Alice_Leader_Ranger.txt,script,scaffold,0.4502618908882141
CONVERSATION_RESUME_Lorelai_ProPeace_Ranger.txt,script,scaffold,0.4506996236741543
CONVERSATION_RESUME_Roxanne_Leader_Downside.txt,script,scaffold,0.44584349542856216
CONVERSATION_RESUME_Tiana_AntiPeace_Ranger.txt,script,scaffold,0.4519246183335781
CONVERSATION_RESUME_Ursula_AntiPeace_Downside.txt,script,scaffold,0.4576730504631996
CONVERSATION_RESUME_Yasmin_ProPeace_Downside.txt,script,scaffold,0.4497068449854851
CONVERSATION_RESUME_Alice_Leader_Ranger.txt,script,scaffold,0.45217857137322426
